date,down_hole_presure,down_hole_temperature,production_pipe_pressure,choke_size_pct,well_head_presure,well_head_temperature,choke_size_pressure,oil
2011-02-22,239.77,105.029,200.93,100.0,38.84,85.815,8.774,2021.33
2010-07-31,252.145,106.539,203.802,59.056,48.343,92.906,14.793,2361.06
2016-06-05,270.27,99.968,238.97,43.02,31.3,88.771,5.509,103.15
2014-10-20,261.455,99.667,230.403,100.0,31.052,88.164,2.331,319.88
2010-09-19,291.688,102.766,223.986,30.853,67.702,22.344,45.466,967.17
2013-02-03,241.74,101.168,209.254,90.002,32.486,87.461,3.508,962.89
2011-05-29,247.56,103.882,207.707,65.118,39.853,90.248,9.946,1624.05
2011-08-15,246.354,103.449,200.76,52.035,45.594,89.516,15.064,1822.57
2010-05-02,236.368,106.532,188.013,59.358,48.355,90.808,14.793,3120.6
2014-12-25,261.792,99.627,229.796,100.0,31.995,88.034,2.385,318.56
2009-10-21,234.785,105.831,171.427,44.31,63.358,81.981,29.371,3675.29
2012-09-01,295.855,98.737,293.126,0.987,2.728,13.38,2.366,319.967
2008-12-18,238.923,105.239,154.222,34.993,84.701,76.279,51.881,3622.37
2013-06-19,244.596,100.77,212.501,100.0,32.095,88.748,3.11,879.48
2012-11-11,242.981,101.559,202.378,49.117,40.604,88.055,10.865,1163.63
2010-06-20,250.707,106.713,201.229,60.551,49.478,92.562,16.289,2452.14
2009-03-09,289.897,103.428,176.278,4.906,113.619,20.965,75.955,109.63
2015-10-31,263.89,99.471,236.009,100.0,27.881,86.289,1.589,187.47
2012-06-15,228.368,102.364,195.732,100.0,32.637,86.317,3.274,1068.47
2013-08-17,246.329,100.604,214.142,100.0,32.187,87.57,3.162,765.66
2008-10-22,212.131,105.098,149.656,45.253,62.475,78.407,29.651,4613.81
2009-05-26,225.618,105.381,157.171,41.324,68.447,79.743,35.301,4024.79
2010-10-09,243.702,106.29,195.604,57.402,48.098,90.287,15.727,2562.51
2010-10-31,242.748,106.137,197.978,64.179,44.771,90.931,12.415,2497.07
2010-03-24,236.841,106.321,184.087,47.669,52.753,87.898,19.374,2723.29
2015-11-21,266.649,99.546,237.506,100.0,29.144,88.14,1.687,192.44
2009-04-01,246.19,105.087,158.468,33.746,87.722,76.913,55.34,3515.99
2010-07-19,251.292,106.611,203.533,62.092,47.759,92.873,14.145,2545.39
2014-03-01,253.981,99.989,221.677,100.0,32.304,87.259,2.774,600.87
