iter	RMSE
0	1162.059059
1	1075.642308
2	994.1187454
3	913.8065189
4	845.7998194
5	783.626
6	727.9416738
7	677.5224223
8	635.1799287
9	593.341319
10	557.5083925
11	524.1730405
12	494.4257438
13	469.7613773
14	448.3040736
15	426.3740788
16	407.6749354
17	391.591472
18	376.0015272
19	362.942865
20	351.5982748
21	342.8784825
22	331.5798477
23	324.1228101
24	316.1414417
25	308.2508312
26	301.8195379
27	295.2693327
28	289.2274011
29	283.7365096
30	278.63602
31	272.6894518
32	268.6142926
33	265.3510039
34	260.9622094
35	257.3013824
36	253.6942742
37	250.8914677
38	248.7204497
39	246.3798469
40	243.5717103
41	241.8032474
42	238.8196789
43	237.2409401
44	234.6600959
45	232.2099419
46	229.7293896
47	227.1329212
48	225.9441553
49	224.4289192
